Inventory,,,,,,,,,,,,,,,
Item ID,Item type,Item Name,Item Description,Aesthetic tag (decor only),Base Cost,Seed Description,Plant Decor Type,Total Ticks (Growth Time),Sell Price (Mature Plant/Decor),Is Fixture (Decor only),Plant Description 1,Plant Description 2,Plant Description 3,Plant Description 4,Plant Description 5
1,Tool,Trowel,desc,,100,,,,,,,,,,
2,Tool,Watering Can,,,100,,,,,,,,,,
3,Tool,Seed Packet,,,100,,,,,,,,,,
4,Tool,Upgraded Trowel,,,100,,,,,,,,,,
5,Tool,Upgraded Watering Can,,,100,,,,,,,,,,
6,Tool,Fertilizer,,,100,,,,,,,,,,
1001,Plant,Rose,Roses are not just beautiful\ but they are also edible. Rose petals can be used in a variety of dishes\ such as salads\ jams\ and syrups.,,3,,Flower,2,10,,Roses are surprisingly edible! Rose petals can be used in a variety of dishes\ such as salads\ jams\ and syrups.,Roses have a long history and have been cultivated for thousands of years. They were highly prized by the ancient Greeks and Romans\ who used them for decoration\ perfume\ and medicine.,There are over 150 species of roses\ and thousands of different varieties have been cultivated around the world.,Roses have been sent into space! In 1988\ NASA sent a rose into space as part of a plant growth experiment on the Space Shuttle Discovery.,Roses are symbols of love\ beauty\ and passion. The symbolism of roses can vary depending on their color and the number of petals\ with each color and number representing a different sentiment or emotion.
1002,Plant,Tulip,The Netherlands is still the largest producer and exporter of tulips in the world\ with over 3 billion bulbs grown every year.,,3,,Flower,2,10,,The Netherlands is still the largest producer and exporter of tulips in the world\ with over 3 billion bulbs grown every year.,"The word ""tulip"" comes from the Turkish word ""tülbent\"" which means ""muslin"" or ""gauze."" This is because the shape of the tulip flower is similar to a turban\ which was commonly worn in Turkey at the time the name was coined.",Tulips have various meanings within the language of flowers based on what color they are. Red tulips represent true love\ while yellow tulips symbolize cheerful thoughts and sunshine.,Tulips hold cultural significance in many countries. In Turkey\ they symbolize paradise on earth\ while in the Netherlands\ they are national symbols that are featured prominently in Dutch art and literature.,Tulips are planted as bulbs in the fall\ usually in September or October before the first frost. They prefer well-draining soil and full or partial sun.
1003,Plant,Calla Lily,The Calla Lily is associated with purity\ rebirth\ and renewal. They are often used in weddings and other ceremonies to symbolize a new beginning or a fresh start.,,4,,Flower,2,15,,Calla lilies are associated with purity\ rebirth\ and renewal. They are often used in weddings and other ceremonies to symbolize a new beginning or a fresh start.,Calla lilies are not actually lilies! They are members of the Araceae family\ which also includes other popular houseplants like philodendrons and peace lilies.,Calla lilies are native to southern Africa and are particularly associated with the country of Lesotho\ where they are the national flower.,Calla lilies are toxic if ingested and can cause irritation if they come into contact with the skin. It's best to keep calla lilies out of reach of small children and pets.,Calla lilies can be grown from bulbs\ which should be planted in the spring. They can also be propagated by division\ which involves separating the offsets from the parent plant and replanting them.
1004,Plant,Dahlia,In the language of flowers\ dahlias have different meanings depending on their color. Pink dahlias symbolize grace and kindness\ while red dahlias represent strength and power.,,4,,Flower,2,15,,Different colored dahlias have different meanings within the language of the flowers. Pink dahlias symbolize grace and kindness\ while red dahlias represent strength and power.,Dahlias are easy to grow and come in a variety of sizes\ colors\ and shapes. They prefer well-draining soil and full sun\ and they should be watered regularly.,Dahlias are native to Mexico and were first cultivated by the Aztecs\ who used them for medicinal and decorative purposes. They were brought to Europe by colonizers in the 18th century and quickly became popular as ornamental plants.,Dahlias have a fascinating diversity of shapes and sizes. Some varieties have spiky petals that resemble fireworks\ while others have large\ fluffy blooms that look like pom-poms.,In Mexico\ dahlias are the national flower and are often used in festivals and celebrations. They are featured prominently in Mexican art and literature.
1005,Plant,Hyacinth,Hyacinths are native to the eastern Mediterranean and were first cultivated by the ancient Greeks\ who used them in religious ceremonies and as a perfume. In Greek mythology\ Hyacinthus was a Spartan prince of remarkable beauty and a lover of the sun god Apollo.,,2,,Flower,2,5,,Hyacinths are native to the eastern Mediterranean and were first cultivated by the ancient Greeks\ who used them in religious ceremonies and for perfume. In Greek mythology\ Hyacinthus was a Spartan prince of remarkable beauty and a lover of the sun god Apollo.,Hyacinths are easy to grow and prefer well-draining soil and full sun to partial shade. They can be planted in the fall for spring blooms or in the spring for summer blooms.,In the language of flowers\ hyacinths have different meanings depending on their color. Blue hyacinths symbolize sincerity\ while pink hyacinths represent playfulness and white hyacinths symbolize purity.,Hyacinths can actually be eaten! The bulbs can be boiled or baked and used in a variety of dishes\ such as stews\ casseroles\ and soups.,"Hyacinths can change color over time due to a process called ""sporting."" This occurs when a plant produces a mutation that causes it to develop a different color or pattern than its parent plant. It's not uncommon for a hyacinth to change from one color to another over the course of several years."
1006,Plant,Pansy,"Pansies are sometimes referred to as ""heartsease\"" which comes from the Old English word ""heartsease\"" meaning ""thoughts of the heart."" This name reflects the flower's association with love and affection.",,4,,Flower,2,15,,"Pansies are sometimes referred to as ""heartsease\"" which comes from the Old English word ""heartsease\"" meaning ""thoughts of the heart."" This name reflects the flower's association with love and affection.",Pansies are easy to grow and prefer well-draining soil and full sun to partial shade. They can be planted in the fall for winter blooms or in the spring for summer blooms.,In A Midsummer Night's Dream\ a play by Shakespeare\ Oberon and Puck create a love potion out of pansy juice and drug the sleeping Demetrius to make him fall in love with the first person he sees after he wakes.,Pansies are native to Europe and were first cultivated by the ancient Greeks and Romans. They were later brought to North America by European colonizers.,"Pansies come in a wide range of colors\ including purple\ blue\ yellow\ and white\ and often have ""faces"" or ""whiskers"" on their petals\ which make them look like they have personalities."
1007,Plant,Crocus,Crocus is among the very first flowers to bloom each spring. In cold climates\ their cheery blossoms will often open when there's still snow on the ground.,,2,,Flower,2,5,,Crocuses are among the very first flowers to bloom each spring. In cold climates\ their cheery blossoms will often open when there's still snow on the ground.,Crocuses are easy to grow and prefer well-draining soil and full sun to partial shade. They can be planted in the fall for early spring blooms or in the spring for summer blooms.,Crocuses symbolize gladness and youthfulness in the language of the flowers. They are often given as a gift to celebrate new beginnings and milestones.,The spice saffron is derived from the stigmas of a specific type of crocus\ Crocus sativus. It takes over 200\000 stigmas to produce just one pound of saffron\ making it one of the most expensive spices in the world.,Crocuses are sometimes used to make natural dyes. The petals of certain species can be boiled to produce a range of colors\ from yellow to purple.
1008,Plant,Cucumber,Cucumbers are composed of over 95% water\ which makes them a hydrating and refreshing snack. They are also low in calories and high in fiber\ making them a healthy addition to any diet.,,4,,Vegetable,4,15,,Cucumbers are composed of over 95% water\ which makes them a hydrating and refreshing snack. They are also low in calories and high in fiber\ making them a healthy addition to any diet.,Cucumbers are warm-weather crops that are easy to grow and can be grown in containers or underground. They prefer well-draining soil and full sun to partial shade.,Cucumbers are sometimes used as a natural pest repellent in gardens. They contain compounds that repel pests like ants\ slugs\ and beetles\ making them a natural and effective alternative to chemical pesticides.,,
1009,Plant,Tomato,Technically\ the tomato is a fruit. The confusion when the US Supreme Court named it a vegetable for taxation purposes in 1893.,,4,,Vegetable,4,15,,Technically\ the tomato is a fruit. The confusion when the US Supreme Court named it a vegetable for taxation purposes in 1893.,Tomatoes are warm-weather plants that require full sun and well-draining soil. They can be grown in the ground\ in containers\ or even upside-down.,Tomatoes are native to South America and were first cultivated by the Aztecs and Incas. They were brought to Europe by Spanish colonizers in the 16th century and eventually became a staple in cuisines around the world.,,
1010,Plant,Pepper,Pepper was used by the Greeks\ Romans\ and Chinese for medicinal purposes. In medieval times it was used as currency\ and at times they were worth more than gold or silver.,,8,,Vegetable,4,35,,Pepper was used by the Greeks\ Romans\ and Chinese for medicinal purposes. In medieval times it was used as currency\ and at times they were worth more than gold or silver.,Peppers are warm-weather plants that require full sun and well-draining soil. They can be grown in the ground\ in containers\ or even hydroponically.,Peppers contain capsaicin\ a compound that gives them their spicy heat. Capsaicin is also believed to have numerous health benefits\ including pain relief and improved digestion.,,
1011,Plant,Sweet Potato,Sweet potatoes are high in fiber\ vitamins\ and minerals\ and are considered a healthy addition to any diet. They are also naturally sweet\ which makes them a great alternative to sugar in many recipes.,,4,,Vegetable,4,15,,Sweet potatoes are high in fiber\ vitamins\ and minerals\ and are considered a healthy addition to any diet. They are also naturally sweet\ which makes them a great alternative to sugar in many recipes.,Sweet potatoes are warm-weather crops that are easy to grow and prefer well-draining soil and full sun. They are typically grown from slips\ which are sprouts that grow from the sweet potato itself.,Sweet potatoes are not actually potatoes at all\ but rather a member of the morning glory family. They are closely related to other root vegetables\ like yams and cassava.,,
1012,Plant,Corn,Traditional farming techniques for growing corn were developed by indigenous communities and are still used in some areas today. One such technique is known as the Three Sisters\ which involves planting corn\ beans\ and squash together in a symbiotic relationship.,,4,,Vegetable,4,15,,Traditional farming techniques for growing corn were developed by indigenous communities and are still used in some areas today. One such technique is known as the Three Sisters\ which involves planting corn\ beans\ and squash together in a symbiotic relationship.,Corn is a warm-weather crop that is easy to grow and requires full sun and well-draining soil. It can be grown in the ground\ in containers\ or even in raised beds.,Corn is native to Central America and was first cultivated by the Mayans and Aztecs. It was brought to Europe by Spanish colonizers in the 16th century and later introduced to North America by European colonizers.,,
1013,Plant,Turnip,In Norse mythology\ turnips were believed to be the favorite food of the god Thor. According to legend\ Thor would often carry a turnip with him to provide nourishment during his travels\ and he was even said to have used turnips as a weapon on occasion!,,6,,Vegetable,4,25,,In Norse mythology\ turnips were believed to be the favorite food of the god Thor. According to legend\ Thor would often carry a turnip with him to provide nourishment during his travels\ and he was even said to have used turnips as a weapon on occasion!,Turnips are cool-season crops that prefer well-draining soil and full sun. They can be grown in the ground or in containers and are typically planted in the fall for a winter harvest.,Turnips were popular food crops during World War I and II\ when they were often used as a substitute for potatoes\ which were in short supply. They were also used to feed livestock during this time.,,
1014,Plant,Pumpkin,Pumpkins are warm-weather crops that prefer well-draining soil and full sun. They are typically planted in the spring and take 75-100 days to mature.,,6,,Vegetable,4,25,,Pumpkins are warm-weather crops that prefer well-draining soil and full sun. They are typically planted in the spring and take 75-100 days to mature.,Pumpkins are native to North America and were first cultivated by indigenous communities for their edible seeds and flesh. They were later introduced to Europe by European colonizers and became popular in cuisines around the world.,Pumpkins have become a symbol of Halloween in North America\ and are commonly used as decorations during the holiday season\ especially as carved jack-o'-lanterns.,,
1015,Plant,Apple,Apples have a long and fascinating history\ with evidence of apple cultivation dating back to ancient times in Central Asia. Apples were later brought to Europe by the Romans and eventually made their way to North America with European settlers.,,12,,Fruit,8,40,,Apples have a long and fascinating history\ with evidence of apple cultivation dating back to ancient times in Central Asia. Apples were later brought to Europe by the Romans and eventually made their way to North America with European colonizers.,Apples have been used in cultural traditions around the world. In England\ it was once believed that if you cut an apple in half and counted the number of seeds\ you would know how many children you would have. In China\ the apple is a symbol of peace and is often given as a gift during the Mid-Autumn Festival.,Apples are popular fruits that can grow in a variety of climates and soil types. They prefer full sun and well-draining soil and can be grown in the ground or in containers.,,
1016,Plant,Pear,Pears are fruits that prefer well-draining soil and full sun. They are typically planted in the fall or early spring and can take 3-5 years to mature.,,12,,Fruit,8,40,,Pears are fruits that prefer well-draining soil and full sun. They are typically planted in the fall or early spring and can take 3-5 years to mature.,"Pears are a popular symbol in art and literature. In the 17th century\ the Dutch artist Jan van Huysum was known for his still-life paintings featuring pears\ while the French writer Stendhal famously wrote that ""a pear is a rose in the fruit world.""",In Chinese mythology\ the pear tree is believed to be a symbol of immortality and is often depicted in art and literature. In Greek mythology\ pears were believed to be sacred to the goddess Hera and were associated with fertility and marriage.,,
1017,Plant,Watermelon,Watermelon is a good source of hydration\ with over 90% water content. It is also a good source of vitamins A and C and contains antioxidants that may help prevent disease.,,8,,Fruit,8,25,,Watermelon is a good source of hydration\ with over 90% water content. It is also a good source of vitamins A and C and contains antioxidants that may help prevent disease.,Watermelon is a vine-like flowering plant that grows best in warm\ sunny climates with well-draining soil. They require regular watering and fertilizing to produce healthy fruit.,Watermelon is believed to have originated in Africa over 5\000 years ago and was later cultivated in ancient Egypt and other parts of the Mediterranean region. It was later introduced to the Americas by European colonizers and is now grown all over the world.,,
1018,Plant,Cherry,Cherry trees prefer well-draining soil and full sun and are often planted in the fall or early spring. They can be propagated through grafting or budding.,,8,,Fruit,8,25,,Cherry trees prefer well-draining soil and full sun and are often planted in the fall or early spring. They can be propagated through grafting or budding.,In some cultures\ cherry blossoms are associated with beauty\ purity\ and rebirth\ and are often used in religious and ceremonial contexts.,Cherries have been cultivated for thousands of years\ with evidence of cherry consumption dating back to ancient civilizations in Asia and Europe.,,
1019,Plant,Plum,Plums are fruits that are relatively easy to grow in the home garden. They prefer well-draining soil and full sun\ and regular pruning is necessary to maintain their shape and fruit production.,,12,,Fruit,8,40,,Plums are fruits that are relatively easy to grow in the home garden. They prefer well-draining soil and full sun\ and regular pruning is necessary to maintain their shape and fruit production.,Plums have been cultivated for thousands of years and are believed to have originated in China. They were introduced to Europe by the Romans and eventually made their way to North America with European colonizers.,In Greek mythology\ plums were associated with the god Pluto\ who was said to have used them as a way to lure souls to the underworld. In Japanese folklore\ the plum blossom is a symbol of perseverance and strength in the face of adversity.,,
1020,Plant,Peach,Peaches are deciduous fruits that require well-drained soil and full sun. They are susceptible to a number of diseases and pests\ so proper care and attention is necessary to ensure a healthy and productive tree.,,12,,Fruit,8,40,,Peaches are deciduous fruits that require well-drained soil and full sun. They are susceptible to a number of diseases and pests\ so proper care and attention is necessary to ensure a healthy and productive tree.,Peaches originated in China more than 2\000 years ago and were brought to the Mediterranean region by traders. They were later introduced to North America by Spanish colonizers in the 16th century.,In Chinese mythology\ the peach is a symbol of longevity and immortality\ and it is said that peaches grown in the orchard of the Queen Mother of the West will grant immortality to those who eat them.,,
